,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Holding Period
0,RELIANCE,Long Closed,2009-12-29,99.5,2010-06-08,117.25,502.0,49949.0,8894.5,17.807,161 days
1,RELIANCE,Long Closed,2010-06-23,122.8,2010-10-12,138.5,407.0,49979.601,6373.9,12.753,111 days
2,RELIANCE,Long Closed,2010-11-24,139.9,2010-12-13,125.5,357.0,49944.298,-5156.8,-10.325,19 days
3,RELIANCE,Long Closed,2011-04-28,115.0,2011-05-10,112.0,434.0,49910.0,-1318.0,-2.641,12 days
4,RELIANCE,Long Closed,2012-01-25,90.0,2012-03-20,69.7,555.0,49950.0,-11282.5,-22.588,55 days
5,RELIANCE,Long Closed,2012-07-18,46.95,2012-07-31,43.9,1064.0,49954.801,-3261.2,-6.528,13 days
6,RELIANCE,Long Closed,2012-09-27,50.95,2012-11-23,47.35,981.0,49981.951,-3547.6,-7.098,57 days
7,RELIANCE,Long Closed,2012-12-10,58.45,2013-02-12,56.85,855.0,49974.751,-1384.0,-2.769,64 days
8,RELIANCE,Long Closed,2013-05-02,49.3,2013-06-26,40.9,1014.0,49990.199,-8533.6,-17.071,55 days
9,RELIANCE,Long Closed,2013-11-05,34.65,2013-11-22,35.25,1443.0,49999.952,849.8,1.7,17 days
10,RELIANCE,Long Closed,2013-11-27,34.65,2014-01-22,34.4,1443.0,49999.952,-376.75,-0.754,56 days
11,RELIANCE,Long Closed,2014-03-07,37.35,2014-07-25,57.95,1338.0,49974.298,27546.8,55.122,140 days
12,RELIANCE,Long Closed,2014-11-25,47.35,2014-12-17,40.2,1055.0,49954.248,-7559.25,-15.132,22 days
13,RELIANCE,Long Closed,2015-01-22,46.25,2015-04-01,46.7,1081.0,49996.25,470.45,0.941,69 days
14,RELIANCE,Long Closed,2015-10-14,28.5,2015-12-17,27.0,1754.0,49989.0,-2647.0,-5.295,64 days
15,RELIANCE,Long Closed,2016-01-07,33.8,2016-02-04,26.45,1479.0,49990.199,-10886.65,-21.778,28 days
16,RELIANCE,Long Closed,2016-03-17,30.15,2016-05-18,29.1,1658.0,49988.699,-1756.9,-3.515,62 days
17,RELIANCE,Long Closed,2016-07-12,29.7,2016-07-19,28.6,1683.0,49985.101,-1867.3,-3.736,7 days
18,RELIANCE,Long Closed,2016-12-08,32.15,2017-04-25,33.35,1555.0,49993.252,1850.0,3.7,138 days
19,RELIANCE,Long Closed,2017-07-20,30.25,2017-09-04,32.5,1652.0,49973.0,3701.0,7.406,46 days
20,RELIANCE,Long Closed,2017-09-20,32.25,2017-10-03,29.5,1550.0,49987.5,-4278.5,-8.559,13 days
21,RELIANCE,Long Closed,2017-11-03,34.0,2018-02-09,32.0,1470.0,49980.0,-2956.0,-5.914,98 days
22,RELIANCE,Long Closed,2018-07-26,25.6,2018-10-03,26.0,1953.0,49996.801,765.2,1.53,69 days
23,RELIANCE,Long Closed,2018-10-31,45.0,2019-01-16,50.1,1111.0,49995.0,5650.1,11.301,77 days
24,RELIANCE,Long Closed,2019-03-18,50.9,2019-05-13,41.5,982.0,49983.801,-9246.8,-18.5,56 days
25,RELIANCE,Long Closed,2019-06-14,48.5,2019-08-30,57.6,1030.0,49955.0,9357.0,18.731,77 days
26,RELIANCE,Long Closed,2019-09-25,67.55,2019-12-04,59.5,740.0,49987.002,-5973.0,-11.949,70 days
27,RELIANCE,Long Closed,2020-01-20,64.6,2020-02-18,56.1,773.0,49935.799,-6586.5,-13.19,29 days
28,RELIANCE,Long Closed,2020-05-22,33.5,2020-07-21,35.4,1492.0,49982.0,2818.8,5.64,60 days
29,RELIANCE,Long Closed,2020-08-21,38.8,2020-10-01,37.0,1288.0,49974.399,-2334.4,-4.671,41 days
30,RELIANCE,Long Closed,2020-11-23,38.45,2021-07-20,97.05,1300.0,49985.001,76164.0,152.374,239 days
31,RELIANCE,Long Closed,2021-09-21,93.6,2021-11-30,100.5,534.0,49982.399,3668.6,7.34,70 days
32,RELIANCE,Long Closed,2022-01-18,116.9,2022-06-28,270.05,427.0,49916.301,65379.05,130.977,161 days
33,RELIANCE,Long Closed,2022-07-29,323.25,2022-10-13,356.95,154.0,49780.5,5173.8,10.393,76 days
34,RELIANCE,Long Closed,2023-04-05,189.0,2023-07-14,237.65,264.0,49896.0,12827.6,25.709,100 days
35,RELIANCE,Long Closed,2023-08-10,278.1,2023-10-30,354.4,179.0,49779.901,13641.7,27.404,81 days
36,RELIANCE,Long Closed,2023-11-17,389.5,2024-03-26,520.3,128.0,49856.0,16726.4,33.549,130 days
